yage,yjs,ymi        ,ypsh,ywith,ydfh,ytwy,yyatco,ywlb,yattr
49  ,2  ,0.217008952,23  ,7    ,8   ,10  ,10    ,3   ,0
37  ,3  ,0.056924697,15  ,0    ,2   ,7   ,0     ,3   ,1
27  ,2  ,0.129489205,12  ,2    ,2   ,6   ,2     ,3   ,0
32  ,4  ,0.108425487,13  ,6    ,2   ,8   ,7     ,2   ,0
30  ,3  ,0.088678252,22  ,0    ,24  ,1   ,1     ,3   ,0
38  ,3  ,0.44849921 ,21  ,8    ,23  ,10  ,9     ,3   ,0
36  ,3  ,0.222643497,13  ,7    ,27  ,17  ,7     ,2   ,0
35  ,2  ,0.07461822 ,13  ,3    ,16  ,6   ,5     ,3   ,0
31  ,3  ,0.100157978,17  ,3    ,26  ,5   ,5     ,2   ,0
34  ,4  ,0.086993154,11  ,2    ,19  ,3   ,2     ,3   ,0
28  ,3  ,0.053659821,14  ,3    ,24  ,6   ,4     ,3   ,1
32  ,2  ,0.120537125,12  ,5    ,5   ,7   ,6     ,2   ,0
22  ,4  ,0.101421801,13  ,0    ,16  ,1   ,1     ,2   ,0
38  ,4  ,0.154555029,11  ,2    ,2   ,6   ,3     ,3   ,0
36  ,1  ,0.126276988,23  ,3    ,9   ,10  ,5     ,3   ,1
21  ,4  ,0.011743023,14  ,0    ,15  ,0   ,0     ,3   ,0
34  ,1  ,0.102738283,11  ,3    ,6   ,8   ,4     ,3   ,1
42  ,2  ,0.306266456,11  ,2    ,8   ,10  ,9     ,3   ,0
33  ,4  ,0.078304371,11  ,0    ,2   ,7   ,1     ,3   ,0
44  ,4  ,0.28730911 ,13  ,3    ,10  ,9   ,4     ,4   ,0
30  ,3  ,0.063033175,13  ,8    ,9   ,10  ,10    ,3   ,0
39  ,4  ,0.05671406 ,14  ,0    ,5   ,19  ,1     ,4   ,1
24  ,4  ,0.067614534,16  ,0    ,1   ,6   ,2     ,2   ,1
50  ,3  ,0.088151659,14  ,2    ,3   ,3   ,3     ,3   ,1
35  ,4  ,0.049605055,12  ,0    ,4   ,1   ,1     ,3   ,0
26  ,3  ,0.067614534,12  ,1    ,25  ,1   ,1     ,2   ,1
27  ,3  ,0.406371775,15  ,7    ,8   ,9   ,9     ,3   ,0
34  ,3  ,0.187414429,20  ,7    ,23  ,10  ,9     ,3   ,0
37  ,2  ,0.10600316 ,21  ,0    ,19  ,8   ,1     ,3   ,0
46  ,4  ,0.250816219,21  ,8    ,5   ,14  ,9     ,3   ,0
35  ,4  ,0.066350711,19  ,1    ,8   ,1   ,1     ,3   ,0
48  ,3  ,0.230226435,13  ,0    ,1   ,23  ,1     ,3   ,1
28  ,3  ,0.128067404,13  ,2    ,5   ,2   ,2     ,2   ,1
35  ,1  ,0.467351237,13  ,3    ,11  ,10  ,4     ,3   ,0
35  ,1  ,0.424433913,22  ,8    ,18  ,9   ,9     ,2   ,0
31  ,4  ,0.258346498,22  ,7    ,7   ,10  ,7     ,2   ,0
37  ,3  ,0.262453923,18  ,7    ,1   ,7   ,7     ,4   ,0
32  ,4  ,0.271353344,22  ,8    ,1   ,9   ,9     ,3   ,0
36  ,2  ,0.289099526,13  ,3    ,11  ,6   ,6     ,3   ,0
45  ,1  ,0.45892575 ,17  ,0    ,7   ,25  ,1     ,3   ,0
35  ,1  ,0.062401264,13  ,2    ,1   ,5   ,3     ,2   ,0
36  ,3  ,0.125276461,17  ,0    ,9   ,2   ,1     ,2   ,1
29  ,2  ,0.089204845,23  ,4    ,2   ,6   ,5     ,3   ,0
31  ,2  ,0.078567667,17  ,0    ,1   ,1   ,1     ,3   ,0
