Rank     ,Discipline,yrs.since.phd,yrs.service,Gender,Salary
Prof     ,B         ,19           ,18         ,Male  ,139750.00
Prof     ,B         ,20           ,16         ,Male  ,173200.00
AsstProf ,B         ,4            ,3          ,Male  ,79750.00
Prof     ,B         ,45           ,39         ,Male  ,115000.00
Prof     ,B         ,40           ,41         ,Male  ,141500.00
AssocProf,B         ,6            ,6          ,Male  ,97000.00
Prof     ,B         ,30           ,23         ,Male  ,175000.00
Prof     ,B         ,45           ,45         ,Male  ,147765.00
Prof     ,B         ,21           ,20         ,Male  ,119250.00
Prof     ,B         ,18           ,18         ,Female,129000.00
AssocProf,B         ,12           ,8          ,Male  ,119800.00
AsstProf ,B         ,7            ,2          ,Male  ,79800.00
AsstProf ,B         ,1            ,1          ,Male  ,77700.00
AsstProf ,B         ,2            ,0          ,Male  ,78000.00
Prof     ,B         ,20           ,18         ,Male  ,104800.00
Prof     ,B         ,12           ,3          ,Male  ,117150.00
Prof     ,B         ,19           ,20         ,Male  ,101000.00
Prof     ,A         ,38           ,34         ,Male  ,103450.00
Prof     ,A         ,37           ,23         ,Male  ,124750.00
Prof     ,A         ,39           ,36         ,Female,137000.00
Prof     ,A         ,31           ,26         ,Male  ,89565.00
Prof     ,A         ,36           ,31         ,Male  ,102580.00
Prof     ,A         ,34           ,30         ,Male  ,93904.00
Prof     ,A         ,24           ,19         ,Male  ,113068.00
AssocProf,A         ,13           ,8          ,Female,74830.00
Prof     ,A         ,21           ,8          ,Male  ,106294.00
Prof     ,A         ,35           ,23         ,Male  ,134885.00
AsstProf ,B         ,5            ,3          ,Male  ,82379.00
AsstProf ,B         ,11           ,0          ,Male  ,77000.00
Prof     ,B         ,12           ,8          ,Male  ,118223.00
Prof     ,B         ,20           ,4          ,Male  ,132261.00
AsstProf ,B         ,7            ,2          ,Male  ,79916.00
Prof     ,B         ,13           ,9          ,Male  ,117256.00
AsstProf ,B         ,4            ,2          ,Male  ,80225.00
AsstProf ,B         ,4            ,2          ,Female,80225.00
AsstProf ,B         ,5            ,0          ,Female,77000.00
Prof     ,B         ,22           ,21         ,Male  ,155750.00
AsstProf ,B         ,7            ,4          ,Male  ,86373.00
Prof     ,B         ,41           ,31         ,Male  ,125196.00
AssocProf,B         ,9            ,9          ,Male  ,100938.00
Prof     ,B         ,23           ,2          ,Male  ,146500.00
AssocProf,B         ,23           ,23         ,Male  ,93418.00
Prof     ,B         ,40           ,27         ,Male  ,101299.00
Prof     ,B         ,38           ,38         ,Male  ,231545.00
Prof     ,B         ,19           ,19         ,Male  ,94384.00
Prof     ,B         ,25           ,15         ,Male  ,114778.00
Prof     ,B         ,40           ,28         ,Male  ,98193.00
Prof     ,B         ,23           ,19         ,Female,151768.00
Prof     ,B         ,25           ,25         ,Female,140096.00
AsstProf ,B         ,1            ,1          ,Male  ,70768.00
Prof     ,B         ,28           ,28         ,Male  ,126621.00
Prof     ,B         ,12           ,11         ,Male  ,108875.00
AsstProf ,B         ,11           ,3          ,Female,74692.00
Prof     ,B         ,16           ,9          ,Male  ,106639.00
AssocProf,B         ,12           ,11         ,Male  ,103760.00
AssocProf,B         ,14           ,5          ,Male  ,83900.00
Prof     ,B         ,23           ,21         ,Male  ,117704.00
AssocProf,B         ,9            ,8          ,Male  ,90215.00
AssocProf,B         ,10           ,9          ,Male  ,100135.00
AsstProf ,B         ,8            ,3          ,Male  ,75044.00
AssocProf,B         ,9            ,8          ,Male  ,90304.00
AsstProf ,B         ,3            ,2          ,Male  ,75243.00
Prof     ,B         ,33           ,31         ,Male  ,109785.00
AssocProf,B         ,11           ,11         ,Female,103613.00
AsstProf ,B         ,4            ,3          ,Male  ,68404.00
AssocProf,B         ,9            ,8          ,Male  ,100522.00
Prof     ,B         ,22           ,12         ,Male  ,101000.00
Prof     ,B         ,35           ,31         ,Male  ,99418.00
Prof     ,B         ,17           ,17         ,Female,111512.00
Prof     ,B         ,28           ,36         ,Male  ,91412.00
Prof     ,B         ,17           ,2          ,Male  ,126320.00
Prof     ,B         ,45           ,45         ,Male  ,146856.00
Prof     ,B         ,29           ,19         ,Male  ,100131.00
Prof     ,B         ,35           ,34         ,Male  ,92391.00
Prof     ,B         ,28           ,23         ,Male  ,113398.00
AsstProf ,B         ,8            ,3          ,Male  ,73266.00
Prof     ,B         ,17           ,3          ,Male  ,150480.00
Prof     ,B         ,26           ,19         ,Male  ,193000.00
AsstProf ,B         ,3            ,1          ,Male  ,86100.00
AsstProf ,B         ,6            ,2          ,Male  ,84240.00
Prof     ,B         ,43           ,28         ,Male  ,150743.00
Prof     ,B         ,17           ,16         ,Male  ,135585.00
Prof     ,B         ,22           ,20         ,Male  ,144640.00
AsstProf ,B         ,6            ,2          ,Male  ,88825.00
Prof     ,B         ,17           ,18         ,Female,122960.00
Prof     ,B         ,15           ,14         ,Male  ,132825.00
Prof     ,B         ,37           ,37         ,Male  ,152708.00
AsstProf ,B         ,2            ,2          ,Male  ,88400.00
Prof     ,B         ,25           ,25         ,Male  ,172272.00
AssocProf,B         ,9            ,7          ,Male  ,107008.00
AsstProf ,B         ,10           ,5          ,Female,97032.00
AssocProf,B         ,10           ,7          ,Male  ,105128.00
AssocProf,B         ,10           ,7          ,Male  ,105631.00
Prof     ,B         ,38           ,38         ,Male  ,166024.00
Prof     ,B         ,21           ,20         ,Male  ,123683.00
AsstProf ,B         ,4            ,0          ,Male  ,84000.00
AssocProf,B         ,17           ,12         ,Male  ,95611.00
Prof     ,B         ,13           ,7          ,Male  ,129676.00
Prof     ,B         ,30           ,14         ,Male  ,102235.00
Prof     ,B         ,41           ,26         ,Male  ,106689.00
Prof     ,B         ,42           ,25         ,Male  ,133217.00
Prof     ,B         ,28           ,23         ,Male  ,126933.00
Prof     ,B         ,16           ,5          ,Male  ,153303.00
Prof     ,B         ,20           ,14         ,Female,127512.00
AssocProf,A         ,18           ,10         ,Male  ,83850.00
Prof     ,A         ,31           ,28         ,Male  ,113543.00
AssocProf,A         ,11           ,8          ,Male  ,82099.00
AssocProf,A         ,10           ,8          ,Male  ,82600.00
AssocProf,A         ,15           ,8          ,Male  ,81500.00
Prof     ,A         ,40           ,31         ,Male  ,131205.00
Prof     ,A         ,20           ,16         ,Male  ,112429.00
AssocProf,A         ,19           ,16         ,Male  ,82100.00
AsstProf ,A         ,3            ,1          ,Male  ,72500.00
Prof     ,A         ,37           ,37         ,Male  ,104279.00
Prof     ,A         ,12           ,0          ,Female,105000.00
Prof     ,A         ,21           ,9          ,Male  ,120806.00
Prof     ,A         ,30           ,29         ,Male  ,148500.00
Prof     ,A         ,39           ,36         ,Male  ,117515.00
AsstProf ,A         ,4            ,1          ,Male  ,72500.00
